file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,70,1.97143,246,59,32,0,0,59,32,31.383,17.0213,0,0,31.383,17.0213
,70,1.97143,247,55,31,0,0,55,31,29.2553,16.4894,0,0,29.2553,16.4894
,70,1.97143,248,54,30,0,0,54,30,28.7234,15.9574,0,0,28.7234,15.9574
,71,2,249,48,27,0,0,48,27,25.5319,14.3617,0,0,25.5319,14.3617
,71,2,249.667,44,24,0,0,44,24,23.4043,12.766,0,0,23.4043,12.766
,71,2,250.333,44,24,0,0,44,24,23.4043,12.766,0,0,23.4043,12.766
,71,2,251,42,22,0,0,42,22,22.3404,11.7021,0,0,22.3404,11.7021
,72,2.02857,252,38,21,0,0,38,21,20.2128,11.1702,0,0,20.2128,11.1702
,72,2.02857,253,45,23,0,0,45,23,23.9362,12.234,0,0,23.9362,12.234
,72,2.02857,254,47,26,0,0,47,26,25,13.8298,0,0,25,13.8298
,72,2.02857,255,49,28,0,0,49,28,26.0638,14.8936,0,0,26.0638,14.8936
,73,2.05714,256,51,31,0,0,51,31,27.1277,16.4894,0,0,27.1277,16.4894
,73,2.05714,256.667,52,32,0,0,52,32,27.6596,17.0213,0,0,27.6596,17.0213
,73,2.05714,257.333,52,32,0,0,52,32,27.6596,17.0213,0,0,27.6596,17.0213
,73,2.05714,258,52,30,0,0,52,30,27.6596,15.9574,0,0,27.6596,15.9574
,74,2.08571,259,51,32,0,0,51,32,27.1277,17.0213,0,0,27.1277,17.0213
,74,2.08571,260,50,31,0,0,50,31,26.5957,16.4894,0,0,26.5957,16.4894
,74,2.08571,261,50,29,0,0,50,29,26.5957,15.4255,0,0,26.5957,15.4255
,74,2.08571,262,49,29,0,0,49,29,26.0638,15.4255,0,0,26.0638,15.4255
,75,2.11429,263,48,27,0,0,48,27,25.5319,14.3617,0,0,25.5319,14.3617
,75,2.11429,263.667,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,75,2.11429,264.333,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,75,2.11429,265,42,24,0,0,42,24,22.3404,12.766,0,0,22.3404,12.766
,76,2.14286,266,42,25,0,0,42,25,22.3404,13.2979,0,0,22.3404,13.2979
,76,2.14286,267,43,25,0,0,43,25,22.8723,13.2979,0,0,22.8723,13.2979
,76,2.14286,268,40,25,0,0,40,25,21.2766,13.2979,0,0,21.2766,13.2979
,76,2.14286,269,42,26,0,0,42,26,22.3404,13.8298,0,0,22.3404,13.8298
,77,2.17143,270,42,26,0,0,42,26,22.3404,13.8298,0,0,22.3404,13.8298
,77,2.17143,270.667,40,23,0,0,40,23,21.2766,12.234,0,0,21.2766,12.234
,77,2.17143,271.333,40,23,0,0,40,23,21.2766,12.234,0,0,21.2766,12.234
,77,2.17143,272,38,21,0,0,38,21,20.2128,11.1702,0,0,20.2128,11.1702
,78,2.2,273,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,78,2.2,274,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,78,2.2,275,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,78,2.2,276,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,79,2.22857,277,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,79,2.22857,277.667,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,79,2.22857,278.333,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,79,2.22857,279,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,80,2.25714,280,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,80,2.25714,281,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,80,2.25714,282,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,80,2.25714,283,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,81,2.28571,284,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,81,2.28571,284.667,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,81,2.28571,285.333,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,81,2.28571,286,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,82,2.31429,287,38,21,0,0,38,21,20.2128,11.1702,0,0,20.2128,11.1702
,82,2.31429,288,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,82,2.31429,289,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,82,2.31429,290,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,83,2.34286,291,38,23,0,0,38,23,20.2128,12.234,0,0,20.2128,12.234
,83,2.34286,291.667,38,23,0,0,38,23,20.2128,12.234,0,0,20.2128,12.234
,83,2.34286,292.333,38,23,0,0,38,23,20.2128,12.234,0,0,20.2128,12.234
,83,2.34286,293,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,84,2.37143,294,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,84,2.37143,295,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,84,2.37143,296,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,84,2.37143,297,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,85,2.4,298,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,85,2.4,299,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,85,2.4,300,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,85,2.4,301,34,23,0,0,34,23,18.0851,12.234,0,0,18.0851,12.234
,86,2.42857,302,34,23,0,0,34,23,18.0851,12.234,0,0,18.0851,12.234
,86,2.42857,302.667,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,86,2.42857,303.333,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,86,2.42857,304,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,87,2.45714,305,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,87,2.45714,306,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,87,2.45714,307,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,87,2.45714,308,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,88,2.48571,309,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,88,2.48571,309.667,33,18,0,0,33,18,17.5532,9.57447,0,0,17.5532,9.57447
,88,2.48571,310.333,33,18,0,0,33,18,17.5532,9.57447,0,0,17.5532,9.57447
,88,2.48571,311,32,18,0,0,32,18,17.0213,9.57447,0,0,17.0213,9.57447
,89,2.51429,312,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,89,2.51429,313,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,89,2.51429,314,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,89,2.51429,315,28,19,0,0,28,19,14.8936,10.1064,0,0,14.8936,10.1064
,90,2.54286,316,29,20,0,0,29,20,15.4255,10.6383,0,0,15.4255,10.6383
,90,2.54286,316.667,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,90,2.54286,317.333,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,90,2.54286,318,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,91,2.57143,319,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,91,2.57143,320,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,91,2.57143,321,24,16,0,0,24,16,12.766,8.51064,0,0,12.766,8.51064
,91,2.57143,322,30,17,0,0,30,17,15.9574,9.04255,0,0,15.9574,9.04255
,92,2.6,323,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,92,2.6,323.667,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,92,2.6,324.333,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,92,2.6,325,32,21,0,0,32,21,17.0213,11.1702,0,0,17.0213,11.1702
,93,2.62857,326,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,93,2.62857,327,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,93,2.62857,328,42,24,0,0,42,24,22.3404,12.766,0,0,22.3404,12.766
,93,2.62857,329,48,29,0,0,48,29,25.5319,15.4255,0,0,25.5319,15.4255
,94,2.65714,330,67,39,0,0,67,39,35.6383,20.7447,0,0,35.6383,20.7447
,94,2.65714,330.667,71,47,0,0,71,47,37.766,25,0,0,37.766,25
,94,2.65714,331.333,71,47,0,0,71,47,37.766,25,0,0,37.766,25
,94,2.65714,332,87,60,0,0,87,60,46.2766,31.9149,0,0,46.2766,31.9149
,95,2.68571,333,92,63,0,0,92,63,48.9362,33.5106,0,0,48.9362,33.5106
,95,2.68571,334,96,62,0,0,96,62,51.0638,32.9787,0,0,51.0638,32.9787
,95,2.68571,335,94,58,0,0,94,58,50,30.8511,0,0,50,30.8511
,95,2.68571,336,90,53,0,0,90,53,47.8723,28.1915,0,0,47.8723,28.1915
,96,2.71429,337,89,46,0,0,89,46,47.3404,24.4681,0,0,47.3404,24.4681
,96,2.71429,337.667,78,39,0,0,78,39,41.4894,20.7447,0,0,41.4894,20.7447
,96,2.71429,338.333,78,39,0,0,78,39,41.4894,20.7447,0,0,41.4894,20.7447
,96,2.71429,339,78,37,0,0,78,37,41.4894,19.6809,0,0,41.4894,19.6809
,97,2.74286,340,68,35,0,0,68,35,36.1702,18.617,0,0,36.1702,18.617
,97,2.74286,341,61,31,0,0,61,31,32.4468,16.4894,0,0,32.4468,16.4894
,97,2.74286,342,58,23,0,0,58,23,30.8511,12.234,0,0,30.8511,12.234
,97,2.74286,343,50,22,0,0,50,22,26.5957,11.7021,0,0,26.5957,11.7021
,98,2.77143,344,54,27,0,0,54,27,28.7234,14.3617,0,0,28.7234,14.3617
,98,2.77143,344.667,57,31,0,0,57,31,30.3191,16.4894,0,0,30.3191,16.4894
,98,2.77143,345.333,57,31,0,0,57,31,30.3191,16.4894,0,0,30.3191,16.4894
,98,2.77143,346,56,29,0,0,56,29,29.7872,15.4255,0,0,29.7872,15.4255
,99,2.8,347,49,26,0,0,49,26,26.0638,13.8298,0,0,26.0638,13.8298
,99,2.8,348,50,27,0,0,50,27,26.5957,14.3617,0,0,26.5957,14.3617
,99,2.8,349,54,31,0,0,54,31,28.7234,16.4894,0,0,28.7234,16.4894
,99,2.8,350,55,30,0,0,55,30,29.2553,15.9574,0,0,29.2553,15.9574
,100,2.82857,351,56,31,0,0,56,31,29.7872,16.4894,0,0,29.7872,16.4894
,100,2.82857,351.667,57,33,0,0,57,33,30.3191,17.5532,0,0,30.3191,17.5532
,100,2.82857,352.333,57,33,0,0,57,33,30.3191,17.5532,0,0,30.3191,17.5532
,100,2.82857,353,56,32,0,0,56,32,29.7872,17.0213,0,0,29.7872,17.0213
,101,2.85714,354,54,30,0,0,54,30,28.7234,15.9574,0,0,28.7234,15.9574
,101,2.85714,355,51,27,0,0,51,27,27.1277,14.3617,0,0,27.1277,14.3617
,101,2.85714,356,55,31,0,0,55,31,29.2553,16.4894,0,0,29.2553,16.4894
,101,2.85714,357,55,32,0,0,55,32,29.2553,17.0213,0,0,29.2553,17.0213
,102,2.88571,358,51,28,0,0,51,28,27.1277,14.8936,0,0,27.1277,14.8936
,102,2.88571,359,50,27,0,0,50,27,26.5957,14.3617,0,0,26.5957,14.3617
,102,2.88571,360,45,24,0,0,45,24,23.9362,12.766,0,0,23.9362,12.766
,102,2.88571,361,42,20,0,0,42,20,22.3404,10.6383,0,0,22.3404,10.6383
,103,2.91429,362,36,19,0,0,36,19,19.1489,10.1064,0,0,19.1489,10.1064
,103,2.91429,362.667,38,20,0,0,38,20,20.2128,10.6383,0,0,20.2128,10.6383
,103,2.91429,363.333,38,20,0,0,38,20,20.2128,10.6383,0,0,20.2128,10.6383
,103,2.91429,364,40,22,0,0,40,22,21.2766,11.7021,0,0,21.2766,11.7021
,104,2.94286,365,47,27,0,0,47,27,25,14.3617,0,0,25,14.3617
,104,2.94286,366,47,28,0,0,47,28,25,14.8936,0,0,25,14.8936
,104,2.94286,367,48,28,0,0,48,28,25.5319,14.8936,0,0,25.5319,14.8936
,104,2.94286,368,49,29,0,0,49,29,26.0638,15.4255,0,0,26.0638,15.4255
,105,2.97143,369,49,27,0,0,49,27,26.0638,14.3617,0,0,26.0638,14.3617
,105,2.97143,369.667,49,28,0,0,49,28,26.0638,14.8936,0,0,26.0638,14.8936
,105,2.97143,370.333,49,28,0,0,49,28,26.0638,14.8936,0,0,26.0638,14.8936
,105,2.97143,371,49,28,0,0,49,28,26.0638,14.8936,0,0,26.0638,14.8936
,106,3,372,47,29,0,0,47,29,25,15.4255,0,0,25,15.4255
,106,3,373,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,106,3,374,46,25,0,0,46,25,24.4681,13.2979,0,0,24.4681,13.2979
,106,3,375,45,23,0,0,45,23,23.9362,12.234,0,0,23.9362,12.234
,107,3.02857,376,43,24,0,0,43,24,22.8723,12.766,0,0,22.8723,12.766
,107,3.02857,376.667,42,25,0,0,42,25,22.3404,13.2979,0,0,22.3404,13.2979
,107,3.02857,377.333,42,25,0,0,42,25,22.3404,13.2979,0,0,22.3404,13.2979
,107,3.02857,378,41,24,0,0,41,24,21.8085,12.766,0,0,21.8085,12.766
,108,3.05714,379,40,23,0,0,40,23,21.2766,12.234,0,0,21.2766,12.234
,108,3.05714,380,40,24,0,0,40,24,21.2766,12.766,0,0,21.2766,12.766
,108,3.05714,381,39,25,0,0,39,25,20.7447,13.2979,0,0,20.7447,13.2979
,108,3.05714,382,38,24,0,0,38,24,20.2128,12.766,0,0,20.2128,12.766
,109,3.08571,383,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,109,3.08571,383.667,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,109,3.08571,384.333,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,109,3.08571,385,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,110,3.11429,386,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,110,3.11429,387,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,110,3.11429,388,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,110,3.11429,389,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,111,3.14286,390,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,111,3.14286,390.667,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,111,3.14286,391.333,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,111,3.14286,392,34,20,0,0,34,20,18.0851,10.6383,0,0,18.0851,10.6383
,112,3.17143,393,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,112,3.17143,394,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,112,3.17143,395,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,112,3.17143,396,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,113,3.2,397,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,113,3.2,397.667,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,113,3.2,398.333,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,113,3.2,399,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,114,3.22857,400,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,114,3.22857,401,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,114,3.22857,402,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,114,3.22857,403,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,115,3.25714,404,37,24,0,0,37,24,19.6809,12.766,0,0,19.6809,12.766
,115,3.25714,404.667,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,115,3.25714,405.333,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,115,3.25714,406,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,116,3.28571,407,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,116,3.28571,408,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,116,3.28571,409,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,116,3.28571,410,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,117,3.31429,411,33,24,0,0,33,24,17.5532,12.766,0,0,17.5532,12.766
,117,3.31429,411.667,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,117,3.31429,412.333,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,117,3.31429,413,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,118,3.34286,414,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,118,3.34286,415,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,118,3.34286,416,32,21,0,0,32,21,17.0213,11.1702,0,0,17.0213,11.1702
,118,3.34286,417,32,21,0,0,32,21,17.0213,11.1702,0,0,17.0213,11.1702
,119,3.37143,418,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,119,3.37143,419,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,119,3.37143,420,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,119,3.37143,421,33,22,0,0,33,22,17.5532,11.7021,0,0,17.5532,11.7021
,120,3.4,422,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,120,3.4,422.667,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,120,3.4,423.333,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,120,3.4,424,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,121,3.42857,425,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,121,3.42857,426,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,121,3.42857,427,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,121,3.42857,428,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,122,3.45714,429,31,18,0,0,31,18,16.4894,9.57447,0,0,16.4894,9.57447
,122,3.45714,429.667,31,18,0,0,31,18,16.4894,9.57447,0,0,16.4894,9.57447
,122,3.45714,430.333,31,18,0,0,31,18,16.4894,9.57447,0,0,16.4894,9.57447
,122,3.45714,431,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,123,3.48571,432,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,123,3.48571,433,28,17,0,0,28,17,14.8936,9.04255,0,0,14.8936,9.04255
,123,3.48571,434,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,123,3.48571,435,28,17,0,0,28,17,14.8936,9.04255,0,0,14.8936,9.04255
,124,3.51429,436,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,124,3.51429,436.667,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,124,3.51429,437.333,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,124,3.51429,438,28,17,0,0,28,17,14.8936,9.04255,0,0,14.8936,9.04255
,125,3.54286,439,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,125,3.54286,440,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,125,3.54286,441,28,18,0,0,28,18,14.8936,9.57447,0,0,14.8936,9.57447
,125,3.54286,442,27,18,0,0,27,18,14.3617,9.57447,0,0,14.3617,9.57447
,126,3.57143,443,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,126,3.57143,443.667,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,126,3.57143,444.333,27,17,0,0,27,17,14.3617,9.04255,0,0,14.3617,9.04255
,126,3.57143,445,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,127,3.6,446,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,127,3.6,447,29,20,0,0,29,20,15.4255,10.6383,0,0,15.4255,10.6383
,127,3.6,448,29,21,0,0,29,21,15.4255,11.1702,0,0,15.4255,11.1702
,127,3.6,449,30,20,0,0,30,20,15.9574,10.6383,0,0,15.9574,10.6383
,128,3.62857,450,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,128,3.62857,450.667,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,128,3.62857,451.333,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,128,3.62857,452,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,129,3.65714,453,55,30,0,0,55,30,29.2553,15.9574,0,0,29.2553,15.9574
,129,3.65714,454,69,39,0,0,69,39,36.7021,20.7447,0,0,36.7021,20.7447
,129,3.65714,455,75,48,0,0,75,48,39.8936,25.5319,0,0,39.8936,25.5319
,129,3.65714,456,89,58,0,0,89,58,47.3404,30.8511,0,0,47.3404,30.8511
,130,3.68571,457,97,63,0,0,97,63,51.5957,33.5106,0,0,51.5957,33.5106
,130,3.68571,457.667,97,61,0,0,97,61,51.5957,32.4468,0,0,51.5957,32.4468
,130,3.68571,458.333,97,61,0,0,97,61,51.5957,32.4468,0,0,51.5957,32.4468
,130,3.68571,459,94,60,0,0,94,60,50,31.9149,0,0,50,31.9149
,131,3.71429,460,91,56,0,0,91,56,48.4043,29.7872,0,0,48.4043,29.7872
,131,3.71429,461,85,45,0,0,85,45,45.2128,23.9362,0,0,45.2128,23.9362
,131,3.71429,462,71,36,0,0,71,36,37.766,19.1489,0,0,37.766,19.1489
,131,3.71429,463,66,27,0,0,66,27,35.1064,14.3617,0,0,35.1064,14.3617
,132,3.74286,464,50,23,0,0,50,23,26.5957,12.234,0,0,26.5957,12.234
,132,3.74286,464.667,50,20,0,0,50,20,26.5957,10.6383,0,0,26.5957,10.6383
,132,3.74286,465.333,50,20,0,0,50,20,26.5957,10.6383,0,0,26.5957,10.6383
,132,3.74286,466,54,25,0,0,54,25,28.7234,13.2979,0,0,28.7234,13.2979
,133,3.77143,467,52,26,0,0,52,26,27.6596,13.8298,0,0,27.6596,13.8298
,133,3.77143,468,52,27,0,0,52,27,27.6596,14.3617,0,0,27.6596,14.3617
,133,3.77143,469,51,25,0,0,51,25,27.1277,13.2979,0,0,27.1277,13.2979
,133,3.77143,470,46,22,0,0,46,22,24.4681,11.7021,0,0,24.4681,11.7021
,134,3.8,471,47,23,0,0,47,23,25,12.234,0,0,25,12.234
,134,3.8,471.667,49,31,0,0,49,31,26.0638,16.4894,0,0,26.0638,16.4894
,134,3.8,472.333,49,31,0,0,49,31,26.0638,16.4894,0,0,26.0638,16.4894
,134,3.8,473,48,29,0,0,48,29,25.5319,15.4255,0,0,25.5319,15.4255
,135,3.82857,474,45,29,0,0,45,29,23.9362,15.4255,0,0,23.9362,15.4255
,135,3.82857,475,47,30,0,0,47,30,25,15.9574,0,0,25,15.9574
,135,3.82857,476,54,32,0,0,54,32,28.7234,17.0213,0,0,28.7234,17.0213
,135,3.82857,477,54,31,0,0,54,31,28.7234,16.4894,0,0,28.7234,16.4894
,136,3.85714,478,55,31,0,0,55,31,29.2553,16.4894,0,0,29.2553,16.4894
,136,3.85714,479,54,33,0,0,54,33,28.7234,17.5532,0,0,28.7234,17.5532
,136,3.85714,480,54,33,0,0,54,33,28.7234,17.5532,0,0,28.7234,17.5532
,136,3.85714,481,53,32,0,0,53,32,28.1915,17.0213,0,0,28.1915,17.0213
,137,3.88571,482,47,29,0,0,47,29,25,15.4255,0,0,25,15.4255
,137,3.88571,482.667,44,26,0,0,44,26,23.4043,13.8298,0,0,23.4043,13.8298
,137,3.88571,483.333,44,26,0,0,44,26,23.4043,13.8298,0,0,23.4043,13.8298
,137,3.88571,484,41,24,0,0,41,24,21.8085,12.766,0,0,21.8085,12.766
,138,3.91429,485,36,20,0,0,36,20,19.1489,10.6383,0,0,19.1489,10.6383
,138,3.91429,486,34,19,0,0,34,19,18.0851,10.1064,0,0,18.0851,10.1064
,138,3.91429,487,39,22,0,0,39,22,20.7447,11.7021,0,0,20.7447,11.7021
,138,3.91429,488,43,24,0,0,43,24,22.8723,12.766,0,0,22.8723,12.766
,139,3.94286,489,44,25,0,0,44,25,23.4043,13.2979,0,0,23.4043,13.2979
,139,3.94286,489.667,49,27,0,0,49,27,26.0638,14.3617,0,0,26.0638,14.3617
,139,3.94286,490.333,49,27,0,0,49,27,26.0638,14.3617,0,0,26.0638,14.3617
,139,3.94286,491,49,29,0,0,49,29,26.0638,15.4255,0,0,26.0638,15.4255
,140,3.97143,492,48,29,0,0,48,29,25.5319,15.4255,0,0,25.5319,15.4255
,140,3.97143,493,45,29,0,0,45,29,23.9362,15.4255,0,0,23.9362,15.4255
,140,3.97143,494,46,29,0,0,46,29,24.4681,15.4255,0,0,24.4681,15.4255
,140,3.97143,495,45,27,0,0,45,27,23.9362,14.3617,0,0,23.9362,14.3617
,141,4,496,45,24,0,0,45,24,23.9362,12.766,0,0,23.9362,12.766
,141,4,496.667,44,24,0,0,44,24,23.4043,12.766,0,0,23.4043,12.766
,141,4,497.333,44,24,0,0,44,24,23.4043,12.766,0,0,23.4043,12.766
,141,4,498,40,24,0,0,40,24,21.2766,12.766,0,0,21.2766,12.766
,142,4.02857,499,41,26,0,0,41,26,21.8085,13.8298,0,0,21.8085,13.8298
,142,4.02857,500,40,24,0,0,40,24,21.2766,12.766,0,0,21.2766,12.766
,142,4.02857,501,39,24,0,0,39,24,20.7447,12.766,0,0,20.7447,12.766
,142,4.02857,502,38,25,0,0,38,25,20.2128,13.2979,0,0,20.2128,13.2979
,143,4.05714,503,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,143,4.05714,503.667,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,143,4.05714,504.333,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,143,4.05714,505,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,144,4.08571,506,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,144,4.08571,507,32,18,0,0,32,18,17.0213,9.57447,0,0,17.0213,9.57447
,144,4.08571,508,33,19,0,0,33,19,17.5532,10.1064,0,0,17.5532,10.1064
,144,4.08571,509,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,145,4.11429,510,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,145,4.11429,510.667,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,145,4.11429,511.333,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,145,4.11429,512,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
