file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,17,0.457143,60,37,20,0,0,37,20,19.6809,10.6383,0,0,19.6809,10.6383
,17,0.457143,61,37,20,0,0,37,20,19.6809,10.6383,0,0,19.6809,10.6383
,18,0.485714,62,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,18,0.485714,62.6667,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,18,0.485714,63.3333,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,18,0.485714,64,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,19,0.514286,65,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,19,0.514286,66,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,19,0.514286,67,28,18,0,0,28,18,14.8936,9.57447,0,0,14.8936,9.57447
,19,0.514286,68,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,20,0.542857,69,29,17,0,0,29,17,15.4255,9.04255,0,0,15.4255,9.04255
,20,0.542857,69.6667,28,16,0,0,28,16,14.8936,8.51064,0,0,14.8936,8.51064
,20,0.542857,70.3333,28,16,0,0,28,16,14.8936,8.51064,0,0,14.8936,8.51064
,20,0.542857,71,29,17,0,0,29,17,15.4255,9.04255,0,0,15.4255,9.04255
,21,0.571429,72,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,21,0.571429,73,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,21,0.571429,74,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,21,0.571429,75,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,22,0.6,76,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,22,0.6,76.6667,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,22,0.6,77.3333,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
